"chr"	"starts"	"ends"	"genes"
"95"	"chr1"	4572236	4572237	"LINC01646"
"96"	"chr1"	5863491	5863492	"MIR4689"
"97"	"chr1"	6206530	6206531	"LOC102724450"
"98"	"chr1"	6236989	6236990	"LINC00337"
"99"	"chr1"	6425525	6425526	"ESPN"
"100"	"chr1"	6425525	6425526	"ESPN"
"101"	"chr1"	6430646	6430647	"MIR4252"
"102"	"chr1"	6486219	6486220	"PLEKHG5"
"103"	"chr1"	6486704	6486705	"PLEKHG5"
"104"	"chr1"	6491330	6491331	"PLEKHG5"
"105"	"chr1"	6497846	6497847	"PLEKHG5"
"106"	"chr1"	6520811	6520812	"PLEKHG5"
"107"	"chr1"	6625899	6625900	"THAP3"
"108"	"chr1"	6725494	6725495	"LINC01672"
"109"	"chr1"	6728276	6728277	"LINC01672"
"110"	"chr1"	6785730	6785731	"CAMTA1.DT"
"111"	"chr1"	6786073	6786074	"CAMTA1"
"112"	"chr1"	6786073	6786074	"CAMTA1"
"113"	"chr1"	6786073	6786074	"CAMTA1"
"114"	"chr1"	7390504	7390505	"LOC102725193"
"115"	"chr1"	7390504	7390505	"LOC102725193"
"116"	"chr1"	7390504	7390505	"LOC102725193"
"117"	"chr1"	7670479	7670480	"CAMTA1"
"118"	"chr1"	7670479	7670480	"CAMTA1"
"119"	"chr1"	7670479	7670480	"CAMTA1"
"120"	"chr1"	7670479	7670480	"CAMTA1"
"121"	"chr1"	7670493	7670494	"CAMTA1"
"122"	"chr1"	7670514	7670515	"CAMTA1"
"123"	"chr1"	7680837	7680838	"CAMTA1"
"124"	"chr1"	36156909	36156910	"MAP7D1"
"125"	"chr1"	8209421	8209422	"LINC01714"
"126"	"chr1"	8425394	8425395	"RERE.AS1"
"127"	"chr1"	8495663	8495664	"SNORD128"
"128"	"chr1"	8867340	8867341	"MIR6728"
"129"	"chr1"	8879584	8879585	"ENO1.AS1"
"130"	"chr1"	9183088	9183089	"MIR34AHG"
"131"	"chr1"	9429666	9429667	"LINC02606"
"132"	"chr1"	9429746	9429747	"LINC02606"
"133"	"chr1"	150488168	150488169	"TARS2"
"134"	"chr1"	9655336	9655337	"PIK3CD.AS1"
"135"	"chr1"	9688324	9688325	"PIK3CD.AS2"
"136"	"chr1"	9688324	9688325	"PIK3CD.AS2"
"137"	"chr1"	9688324	9688325	"PIK3CD.AS2"
"138"	"chr1"	9961537	9961538	"TMEM274P"
"139"	"chr1"	9968130	9968131	"MIR5697"
"140"	"chr1"	10299715	10299716	"RNU6.1"
"141"	"chr1"	10299715	10299716	"RNU6.9"
"142"	"chr1"	10299715	10299716	"RNU6.7"
"143"	"chr1"	10299715	10299716	"RNU6.8"
"144"	"chr1"	10299715	10299716	"RNU6.2"
"145"	"chr1"	10431496	10431497	"CENPS"
"146"	"chr1"	10431496	10431497	"CENPS.CORT"
"147"	"chr1"	160401313	160401314	"VANGL2"
"148"	"chr1"	11100424	11100425	"EXOSC10.AS1"
"149"	"chr1"	11100424	11100425	"EXOSC10.AS1"
"150"	"chr1"	11100768	11100769	"EXOSC10.AS1"
"151"	"chr1"	11144647	11144648	"MTOR.AS1"
"152"	"chr1"	11610280	11610281	"LINC01647"
"153"	"chr1"	11655606	11655607	"FBXO44"
"154"	"chr1"	967231	967232	"PLEKHN1"
"155"	"chr1"	148890201	148890202	"PDE4DIP"
"156"	"chr1"	11780369	11780370	"LOC102724659"
"157"	"chr1"	11806845	11806846	"CLCN6"
"158"	"chr1"	11841068	11841069	"NPPA.AS1"
"159"	"chr1"	11908903	11908904	"RNU5E.1"
"160"	"chr1"	174448713	174448714	"GPR52"
"161"	"chr1"	222590683	222590684	"TAF1A"
"162"	"chr1"	12029907	12029908	"MIR6729"
"163"	"chr1"	12167692	12167693	"MIR7846"
"164"	"chr1"	12192462	12192463	"MIR4632"
"165"	"chr1"	12507995	12507996	"SNORA59B"
"166"	"chr1"	12507995	12507996	"SNORA59A"
"167"	"chr1"	12579773	12579774	"MIR6730"
"168"	"chr1"	12716864	12716865	"AADACL3"
"169"	"chr1"	12795440	12795441	"PRAMEF1"
"170"	"chr1"	12823973	12823974	"LINC01784"
"171"	"chr1"	204517128	204517129	"MDM4"
"172"	"chr1"	13100467	13100468	"PRAMEF36P"
"173"	"chr1"	13100467	13100468	"PRAMEF34P"
"174"	"chr1"	13127818	13127819	"PRAMEF36P"
"175"	"chr1"	13127818	13127819	"PRAMEF34P"
"176"	"chr1"	14420723	14420724	"KAZN.AS1"
"177"	"chr1"	15153214	15153215	"TMEM51.AS1"
"178"	"chr1"	15172374	15172375	"C1orf195"
"179"	"chr1"	15344633	15344634	"LOC101927417"
"180"	"chr1"	15344633	15344634	"LOC101927417"
"181"	"chr1"	15527562	15527563	"DNAJC16"
"182"	"chr1"	15542915	15542916	"SCARNA21B"
"183"	"chr1"	15750640	15750641	"SLC25A34.AS1"
"184"	"chr1"	15848897	15848898	"FLJ37453"
"185"	"chr1"	24931026	24931027	"RUNX3"
"186"	"chr1"	236796030	236796031	"MTR"
"187"	"chr1"	16049511	16049512	"CLCNKB"
"188"	"chr1"	160032740	160032741	"PIGM"
"189"	"chr1"	12746949	12746950	"C1orf158"
"190"	"chr1"	225810883	225810884	"EPHX1"
"191"	"chr1"	16438174	16438175	"SPATA21"
"192"	"chr1"	16438174	16438175	"SPATA21"
"193"	"chr1"	16441421	16441422	"NECAP2"
"194"	"chr1"	16461697	16461698	"LINC01772"
"195"	"chr1"	16462556	16462557	"LINC01772"
"196"	"chr1"	16493451	16493452	"CROCCP3"
"197"	"chr1"	16515035	16515036	"RNVU1.18"
"198"	"chr1"	16515035	16515036	"RNU1.3"
"199"	"chr1"	16515035	16515036	"RNU1.4"
"200"	"chr1"	16515035	16515036	"RNU1.2"
"201"	"chr1"	16515035	16515036	"RNU1.1"
"202"	"chr1"	16536402	16536403	"LINC01783"
"203"	"chr1"	16549663	16549664	"MIR3675"
"204"	"chr1"	16631656	16631657	"CROCCP2"
"205"	"chr1"	16646323	16646324	"MST1P2"
"206"	"chr1"	16667698	16667699	"RNVU1.18"
"207"	"chr1"	16667698	16667699	"RNU1.3"
"208"	"chr1"	16667698	16667699	"RNU1.4"
"209"	"chr1"	16667698	16667699	"RNU1.2"
"210"	"chr1"	16667698	16667699	"RNU1.1"
"211"	"chr1"	16682004	16682005	"MIR3675"
"212"	"chr1"	16720907	16720908	"ESPNP"
"213"	"chr1"	16741265	16741266	"RNVU1.18"
"214"	"chr1"	16741265	16741266	"RNU1.3"
"215"	"chr1"	16741265	16741266	"RNU1.4"
"216"	"chr1"	16741265	16741266	"RNU1.2"
"217"	"chr1"	16741265	16741266	"RNU1.1"
"218"	"chr1"	16859771	16859772	"MIR3675"
"219"	"chr1"	16890228	16890229	"LOC105376805"
"220"	"chr1"	16890228	16890229	"LOC105376805"
"221"	"chr1"	16890416	16890417	"LOC105376805"
"222"	"chr1"	16890416	16890417	"LOC105376805"
"223"	"chr1"	16896729	16896730	"RNVU1.18"
"224"	"chr1"	16896729	16896730	"RNU1.3"
"225"	"chr1"	16896729	16896730	"RNU1.4"
"226"	"chr1"	16896729	16896730	"RNU1.2"
"227"	"chr1"	16896729	16896730	"RNU1.1"
"228"	"chr1"	8879436	8879437	"ENO1"
"229"	"chr1"	17278638	17278639	"MIR3972"
"230"	"chr1"	175024175	175024176	"MRPS14"
"231"	"chr1"	17581302	17581303	"ARHGEF10L"
"232"	"chr1"	17581302	17581303	"ARHGEF10L"
"233"	"chr1"	17619062	17619063	"ARHGEF10L"
"234"	"chr1"	17619062	17619063	"ARHGEF10L"
"235"	"chr1"	18066406	18066407	"LINC01654"
"236"	"chr1"	186376587	186376588	"ODR4"
"237"	"chr1"	38047543	38047544	"POU3F1"
"238"	"chr1"	18884025	18884026	"MIR4695"
"239"	"chr1"	18897898	18897899	"MIR1290"
"240"	"chr1"	150488168	150488169	"TARS2"
"241"	"chr1"	74484190	74484191	"LRRC53"
"242"	"chr1"	19211135	19211136	"EMC1.AS1"
"243"	"chr1"	19211135	19211136	"EMC1.AS1"
"244"	"chr1"	19274872	19274873	"AKR7L"
"245"	"chr1"	19296486	19296487	"LOC100506730"
"246"	"chr1"	19597582	19597583	"LOC105378614"
"247"	"chr1"	19597726	19597727	"MICOS10"
"248"	"chr1"	19608556	19608557	"RPS14P3"
"249"	"chr1"	19643978	19643979	"NBL1"
"250"	"chr1"	19643978	19643979	"NBL1"
"251"	"chr1"	19644158	19644159	"NBL1"
"252"	"chr1"	19644463	19644464	"NBL1"
"253"	"chr1"	19646121	19646122	"NBL1"
"254"	"chr1"	19646515	19646516	"NBL1"
"255"	"chr1"	19648359	19648360	"NBL1"
"256"	"chr1"	28370489	28370490	"PHACTR4"
"257"	"chr1"	19800099	19800100	"TMCO4"
"258"	"chr1"	32651682	32651683	"ZBTB8OS"
"259"	"chr1"	20178189	20178190	"PLA2G2C"
"260"	"chr1"	20187236	20187237	"UBXN10.AS1"
"261"	"chr1"	20243844	20243845	"LINC01757"
"262"	"chr1"	20429544	20429545	"LINC01141"
"263"	"chr1"	20634428	20634429	"MIR6084"
"264"	"chr1"	20652943	20652944	"PINK1.AS"
"265"	"chr1"	154221340	154221341	"C1orf43"
"266"	"chr1"	109283918	109283919	"PSRC1"
"267"	"chr1"	159536757	159536758	"OR10J5"
"268"	"chr1"	159315409	159315410	"OR10J3"
"269"	"chr1"	20989182	20989183	"MIR1256"
"270"	"chr1"	21294039	21294040	"LOC100506801"
"271"	"chr1"	20718757	20718758	"KIF17"
"272"	"chr1"	20140072	20140073	"PLA2G2F"
"273"	"chr1"	20140072	20140073	"PLA2G2F"
"274"	"chr1"	3653265	3653266	"TP73"
"275"	"chr1"	211676380	211676381	"NEK2"
"276"	"chr1"	211676380	211676381	"NEK2"
"277"	"chr1"	204517128	204517129	"MDM4"
"278"	"chr1"	204517128	204517129	"MDM4"
"279"	"chr1"	145919467	145919468	"PEX11B"
"280"	"chr1"	22026798	22026799	"LINC01635"
"281"	"chr1"	22025940	22025941	"LINC00339"
"282"	"chr1"	22026253	22026254	"LINC00339"
"283"	"chr1"	22026253	22026254	"LINC00339"
"284"	"chr1"	22026253	22026254	"LINC00339"
"285"	"chr1"	22026253	22026254	"LINC00339"
"286"	"chr1"	22026253	22026254	"LINC00339"
"287"	"chr1"	22266988	22266989	"MIR4418"
"288"	"chr1"	22452600	22452601	"ZBTB40"
"289"	"chr1"	22634116	22634117	"MIR6127"
"290"	"chr1"	155278212	155278213	"HCN3"
"291"	"chr1"	22720266	22720267	"MIR4684"
"292"	"chr1"	22863976	22863977	"MIR4253"
"293"	"chr1"	23045054	23045055	"MIR3115"
"294"	"chr1"	23286268	23286269	"LINC01355"
"295"	"chr1"	23369720	23369721	"ZNF436.AS1"
"296"	"chr1"	23369967	23369968	"ZNF436.AS1"
"297"	"chr1"	23522679	23522680	"LOC101928163"
"298"	"chr1"	23779047	23779048	"ELOA.AS1"
"299"	"chr1"	155241999	155242000	"GBA"
"300"	"chr1"	23929819	23929820	"MIR378F"
"301"	"chr1"	23981213	23981214	"SRSF10"
"302"	"chr1"	24414522	24414523	"STPG1"
"303"	"chr1"	24414522	24414523	"STPG1"
"304"	"chr1"	24415847	24415848	"STPG1"
"305"	"chr1"	24416499	24416500	"NIPAL3"
"306"	"chr1"	24416499	24416500	"NIPAL3"
"307"	"chr1"	24416499	24416500	"NIPAL3"
"308"	"chr1"	24416499	24416500	"NIPAL3"
"309"	"chr1"	24416499	24416500	"NIPAL3"
"310"	"chr1"	24416499	24416500	"NIPAL3"
"311"	"chr1"	24416499	24416500	"NIPAL3"
"312"	"chr1"	24416499	24416500	"NIPAL3"
"313"	"chr1"	24416499	24416500	"NIPAL3"
"314"	"chr1"	24416499	24416500	"NIPAL3"
"315"	"chr1"	24416499	24416500	"NIPAL3"
"316"	"chr1"	24416499	24416500	"NIPAL3"
"317"	"chr1"	24416499	24416500	"NIPAL3"
"318"	"chr1"	24503132	24503133	"RCAN3AS"
"319"	"chr1"	24503132	24503133	"RCAN3AS"
"320"	"chr1"	24503132	24503133	"RCAN3AS"
"321"	"chr1"	24503132	24503133	"RCAN3AS"
"322"	"chr1"	24503100	24503101	"RCAN3"
"323"	"chr1"	24503646	24503647	"RCAN3"
"324"	"chr1"	24503646	24503647	"RCAN3"
"325"	"chr1"	200028459	200028460	"NR5A2"
"326"	"chr1"	24508343	24508344	"RCAN3"
"327"	"chr1"	24515063	24515064	"RCAN3"
"328"	"chr1"	24515063	24515064	"RCAN3"
"329"	"chr1"	24515063	24515064	"RCAN3"
"330"	"chr1"	43708285	43708286	"ST3GAL3"
"331"	"chr1"	168138323	168138324	"GPR161"
"332"	"chr1"	168138417	168138418	"GPR161"
"333"	"chr1"	45341220	45341221	"MUTYH"
"334"	"chr1"	168138417	168138418	"GPR161"
"335"	"chr1"	16019540	16019541	"HSPB7"
"336"	"chr1"	16020344	16020345	"HSPB7"
"337"	"chr1"	41162182	41162183	"SCMH1"
"338"	"chr1"	16019540	16019541	"HSPB7"
"339"	"chr1"	16019540	16019541	"HSPB7"
"340"	"chr1"	16019540	16019541	"HSPB7"
"341"	"chr1"	81801125	81801126	"ADGRL2"
"342"	"chr1"	41362183	41362184	"FOXO6"
"343"	"chr1"	24644051	24644052	"SRRM1"
"344"	"chr1"	24644051	24644052	"SRRM1"
"345"	"chr1"	24644051	24644052	"SRRM1"
"346"	"chr1"	24644051	24644052	"SRRM1"
"347"	"chr1"	24644051	24644052	"SRRM1"
"348"	"chr1"	24644051	24644052	"SRRM1"
"349"	"chr1"	24644051	24644052	"SRRM1"
"350"	"chr1"	24644051	24644052	"SRRM1"
"351"	"chr1"	24644051	24644052	"SRRM1"
"352"	"chr1"	24644328	24644329	"SRRM1"
"353"	"chr1"	24644051	24644052	"SRRM1"
"354"	"chr1"	24920166	24920167	"MIR6731"
"355"	"chr1"	25024252	25024253	"MIR4425"
"356"	"chr1"	25248269	25248270	"RSRP1"
"357"	"chr1"	25248269	25248270	"RSRP1"
"358"	"chr1"	25248269	25248270	"RSRP1"
"359"	"chr1"	25248269	25248270	"RSRP1"
"360"	"chr1"	25248269	25248270	"RSRP1"
"361"	"chr1"	25248269	25248270	"RSRP1"
"362"	"chr1"	25248269	25248270	"RSRP1"
"363"	"chr1"	25248269	25248270	"RSRP1"
"364"	"chr1"	25268675	25268676	"RSRP1"
"365"	"chr1"	25339004	25339005	"RSRP1"
"366"	"chr1"	25339004	25339005	"RSRP1"
"367"	"chr1"	25339004	25339005	"RSRP1"
"368"	"chr1"	25339004	25339005	"RSRP1"
"369"	"chr1"	225826103	225826104	"EPHX1"
"370"	"chr1"	25339004	25339005	"RSRP1"
"371"	"chr1"	25339004	25339005	"RSRP1"
"372"	"chr1"	25339004	25339005	"RSRP1"
"373"	"chr1"	25339004	25339005	"RSRP1"
"374"	"chr1"	25431607	25431608	"MACO1"
"375"	"chr1"	25820655	25820656	"MTFR1L"
"376"	"chr1"	25824356	25824357	"LOC646471"
"377"	"chr1"	25860208	25860209	"AUNIP"
"378"	"chr1"	25907204	25907205	"MIR3917"
"379"	"chr1"	26111914	26111915	"PDIK1L"
"380"	"chr1"	26169332	26169333	"C1orf232"
"381"	"chr1"	3901022	3901023	"C1orf174"
"382"	"chr1"	26226069	26226070	"LOC101928303"
"383"	"chr1"	26307454	26307455	"UBXN11"
"384"	"chr1"	26319015	26319016	"UBXN11"
"385"	"chr1"	220749071	220749072	"MARC2"
"386"	"chr1"	26468287	26468288	"LOC101928324"
"387"	"chr1"	26468287	26468288	"LOC101928324"
"388"	"chr1"	26694881	26694882	"LOC101928728"
"389"	"chr1"	26788937	26788938	"PIGV"
"390"	"chr1"	27324623	27324624	"ACTG1P20"
"391"	"chr1"	38874098	38874099	"MYCBP"
"392"	"chr1"	27375602	27375603	"FCN3"
"393"	"chr1"	27663472	27663473	"LINC02574"
"394"	"chr1"	27835150	27835151	"SCARNA1"
"395"	"chr1"	27873292	27873293	"THEMIS2"
"396"	"chr1"	27873292	27873293	"THEMIS2"
"397"	"chr1"	27873292	27873293	"THEMIS2"
"398"	"chr1"	27873292	27873293	"THEMIS2"
"399"	"chr1"	155052065	155052066	"ADAM15"
"400"	"chr1"	28089387	28089388	"EYA3"
"401"	"chr1"	28233779	28233780	"DNAJC8"
"402"	"chr1"	28508114	28508115	"SNORA73A"
"403"	"chr1"	28509307	28509308	"SNORA73B"
"404"	"chr1"	28553766	28553767	"TRNAU1AP"
"405"	"chr1"	28580643	28580644	"SNORA61"
"406"	"chr1"	28581262	28581263	"SNORA44"
"407"	"chr1"	28581803	28581804	"SNORA16A"
"408"	"chr1"	247079561	247079562	"ZNF670"
"409"	"chr1"	28644005	28644006	"LINC01715"
"410"	"chr1"	28644005	28644006	"LINC01715"
"411"	"chr1"	28649349	28649350	"RNU11"
"412"	"chr1"	45341220	45341221	"MUTYH"
"413"	"chr1"	59927548	59927549	"CYP2J2"
"414"	"chr1"	59927548	59927549	"CYP2J2"
"415"	"chr1"	2633766	2633767	"MMEL1"
"416"	"chr1"	29350864	29350865	"LINC01756"
"417"	"chr1"	30038362	30038363	"LINC01648"
"418"	"chr1"	30719521	30719522	"MATN1.AS1"
"419"	"chr1"	30739982	30739983	"MIR4420"
"420"	"chr1"	30825401	30825402	"LINC01778"
"421"	"chr1"	21783899	21783900	"USP48"
"422"	"chr1"	30936526	30936527	"SNORD103A"
"423"	"chr1"	30936526	30936527	"SNORD103B"
"424"	"chr1"	30949955	30949956	"SNORD103A"
"425"	"chr1"	30949955	30949956	"SNORD103B"
"426"	"chr1"	30968987	30968988	"SNORD103C"
"427"	"chr1"	150809010	150809011	"CTSK"
"428"	"chr1"	39955894	39955895	"MFSD2A"
"429"	"chr1"	31519184	31519185	"LINC01226"
"430"	"chr1"	31645367	31645368	"PEF1"
"431"	"chr1"	31759485	31759486	"MIR4254"
"432"	"chr1"	31816801	31816802	"SPOCD1"
"433"	"chr1"	227816466	227816467	"PRSS38"
"434"	"chr1"	32072780	32072781	"TMEM39B"
"435"	"chr1"	32087698	32087699	"MIR5585"
"436"	"chr1"	109283918	109283919	"PSRC1"
"437"	"chr1"	32242460	32242461	"MTMR9LP"
"438"	"chr1"	61077976	61077977	"NFIA"
"439"	"chr1"	32651682	32651683	"ZBTB8OS"
"440"	"chr1"	32651682	32651683	"ZBTB8OS"
"441"	"chr1"	32651682	32651683	"ZBTB8OS"
"442"	"chr1"	32651682	32651683	"ZBTB8OS"
"443"	"chr1"	32651682	32651683	"ZBTB8OS"
"444"	"chr1"	32651682	32651683	"ZBTB8OS"
"445"	"chr1"	32651682	32651683	"ZBTB8OS"
"446"	"chr1"	32651682	32651683	"ZBTB8OS"
"447"	"chr1"	32651682	32651683	"ZBTB8OS"
"448"	"chr1"	32651682	32651683	"ZBTB8OS"
"449"	"chr1"	32651682	32651683	"ZBTB8OS"
"450"	"chr1"	32818191	32818192	"S100PBP"
"451"	"chr1"	32826062	32826063	"S100PBP"
"452"	"chr1"	32826062	32826063	"S100PBP"
"453"	"chr1"	33082927	33082928	"AZIN2"
"454"	"chr1"	33082927	33082928	"AZIN2"
"455"	"chr1"	33082927	33082928	"AZIN2"
"456"	"chr1"	33082927	33082928	"AZIN2"
"457"	"chr1"	33177300	33177301	"TRIM62"
"458"	"chr1"	33333242	33333243	"MIR3605"
"459"	"chr1"	33351101	33351102	"LOC101929464"
"460"	"chr1"	96722354	96722355	"PTBP2"
"461"	"chr1"	33869705	33869706	"CSMD2.AS1"
"462"	"chr1"	247759156	247759157	"OR1C1"
"463"	"chr1"	151283048	151283049	"ZNF687"
"464"	"chr1"	34859795	34859796	"SMIM12"
"465"	"chr1"	34979456	34979457	"LOC653160"
"466"	"chr1"	46133379	46133380	"PIK3R3"
"467"	"chr1"	35060535	35060536	"ZMYM1"
"468"	"chr1"	35080112	35080113	"ZMYM1"
"469"	"chr1"	35080112	35080113	"ZMYM1"
"470"	"chr1"	35080112	35080113	"ZMYM1"
"471"	"chr1"	35080112	35080113	"ZMYM1"
"472"	"chr1"	55040971	55040972	"PCSK9"
"473"	"chr1"	35366827	35366828	"ZMYM4.AS1"
"474"	"chr1"	35717661	35717662	"C1orf216"
"475"	"chr1"	86914876	86914877	"SELENOF"
"476"	"chr1"	36150264	36150265	"TRAPPC3"
"477"	"chr1"	36150264	36150265	"TRAPPC3"
"478"	"chr1"	81803202	81803203	"ADGRL2"
"479"	"chr1"	81801125	81801126	"ADGRL2"
"480"	"chr1"	81307008	81307009	"ADGRL2"
"481"	"chr1"	36307856	36307857	"SH3D21"
"482"	"chr1"	36419328	36419329	"SNORA63C"
"483"	"chr1"	51617841	51617842	"OSBPL9"
"484"	"chr1"	43708246	43708247	"ST3GAL3"
"485"	"chr1"	37162312	37162313	"MIR4255"
"486"	"chr1"	37475193	37475194	"LINC01137"
"487"	"chr1"	37480979	37480980	"MIR6732"
"488"	"chr1"	37501744	37501745	"MIR5581"
"489"	"chr1"	37596735	37596736	"GNL2"
"490"	"chr1"	37596735	37596736	"GNL2"
"491"	"chr1"	211327364	211327365	"TRAF5"
"492"	"chr1"	37765902	37765903	"EPHA10"
"493"	"chr1"	37794851	37794852	"MANEAL"
"494"	"chr1"	37796237	37796238	"MANEAL"
"495"	"chr1"	37808550	37808551	"C1orf122"
"496"	"chr1"	37947807	37947808	"INPP5B"
"497"	"chr1"	37943014	37943015	"INPP5B"
"498"	"chr1"	38089980	38089981	"MIR3659"
"499"	"chr1"	38215517	38215518	"LINC01343"
"500"	"chr1"	38475945	38475946	"LINC01685"
"501"	"chr1"	38874128	38874129	"MYCBP"
"502"	"chr1"	38882376	38882377	"GJA9.MYCBP"
"503"	"chr1"	38882376	38882377	"GJA9.MYCBP"
"504"	"chr1"	38882376	38882377	"GJA9.MYCBP"
"505"	"chr1"	38882376	38882377	"GJA9.MYCBP"
"506"	"chr1"	38882376	38882377	"GJA9.MYCBP"
"507"	"chr1"	38874150	38874151	"LOC105378663"
"508"	"chr1"	38991993	38991994	"AKIRIN1"
"509"	"chr1"	39515615	39515616	"OXCT2P1"
"510"	"chr1"	39560448	39560449	"PPIEL"
"511"	"chr1"	39560448	39560449	"PPIEL"
"512"	"chr1"	39560448	39560449	"PPIEL"
"513"	"chr1"	39560448	39560449	"PPIEL"
"514"	"chr1"	39560448	39560449	"PPIEL"
"515"	"chr1"	39565819	39565820	"PABPC4.AS1"
"516"	"chr1"	39568260	39568261	"SNORA55"
"517"	"chr1"	39692235	39692236	"HPCAL4"
"518"	"chr1"	39692235	39692236	"HPCAL4"
"519"	"chr1"	39739594	39739595	"PPIE"
"520"	"chr1"	39739594	39739595	"PPIE"
"521"	"chr1"	39789725	39789726	"LOC101929536"
"522"	"chr1"	39884261	39884262	"TRIT1"
"523"	"chr1"	39884261	39884262	"TRIT1"
"524"	"chr1"	39884261	39884262	"TRIT1"
"525"	"chr1"	39884261	39884262	"TRIT1"
